Vital_Sign_Index,Housing_Typology_Index
55,1
55,2
55,3
51,4
51,5
51,6
51,7
51,8
55,9
55,10
5,11
5,12
5,13
39,14
39,15
39,16
39,17
5,18
5,19
5,20
5,21
16,22
16,23
54,24
54,25
54,26
54,27
54,28
36,29
36,30
36,31
19,32
19,33
19,34
19,35
19,36
19,37
19,38
19,39
19,40
19,41
19,42
19,43
19,44
54,45
54,46
54,47
54,48
19,49
19,50
19,51
32,52
32,53
32,54
40,55
40,56
40,57
40,58
40,59
40,60
40,61
40,62
40,63
40,64
40,65
40,66
40,67
40,68
32,69
32,70
32,71
32,72
32,73
32,74
32,75
32,76
32,77
32,78
32,79
32,80
32,81
32,82
35,83
32,84
54,85
53,86
54,87
54,88
54,89
53,90
53,91
53,92
53,93
53,94
53,95
53,96
53,97
53,98
43,99
43,100
43,101
43,102
43,103
43,104
43,105
43,106
23,107
23,108
23,109
23,110
21,111
21,112
21,113
21,114
21,115
21,116
21,117
23,118
23,119
23,120
23,121
23,122
23,123
21,124
21,125
21,126
21,127
21,128
21,129
17,130
17,131
17,132
17,133
17,134
17,135
17,136
17,137
17,138
17,139
17,140
13,141
13,142
13,143
13,144
13,145
13,146
13,147
13,148
13,149
13,150
13,151
13,152
13,153
13,154
13,155
46,156
46,157
46,158
46,159
46,160
46,161
46,162
46,163
46,164
46,165
46,166
43,167
43,168
43,169
43,170
43,171
43,172
43,173
43,174
43,175
43,176
43,177
43,178
43,179
43,180
43,181
43,182
23,183
23,184
23,185
23,186
23,187
23,188
23,189
23,190
23,191
23,192
23,193
23,194
23,195
23,196
23,197
23,198
23,199
23,200
15,201
15,202
15,203
15,204
15,205
15,206
15,207
15,208
14,209
14,210
53,211
53,212
53,213
53,214
42,215
42,216
42,217
42,218
42,219
42,220
47,221
47,222
47,223
47,224
47,225
47,226
47,227
47,228
47,229
47,230
47,231
47,232
47,233
47,234
47,235
47,236
47,237
47,238
47,239
47,240
47,241
47,242
47,243
47,244
47,245
47,246
47,247
47,248
47,249
47,250
47,251
47,252
47,253
1,254
1,255
1,256
1,257
1,258
1,259
1,260
1,261
1,262
1,263
1,264
1,265
1,266
16,267
16,268
16,269
16,270
16,271
16,272
49,273
49,274
49,275
49,276
49,277
28,278
28,279
28,280
28,281
28,282
28,283
28,284
28,285
44,286
44,287
44,288
44,289
28,290
28,291
28,292
28,293
28,294
44,295
44,296
44,297
44,298
44,299
2,300
2,301
1,302
1,303
34,304
34,305
34,306
34,307
7,308
7,309
7,310
7,311
7,312
50,313
50,314
50,315
50,316
50,317
34,318
34,319
34,320
7,321
7,322
50,323
50,324
50,325
34,326
34,327
34,328
4,329
4,330
4,331
4,332
4,333
4,334
4,335
4,336
4,337
4,338
4,339
4,340
4,341
4,342
6,343
6,344
6,345
6,346
6,347
6,348
6,349
6,350
6,351
6,352
6,353
6,354
6,355
6,356
6,357
6,358
6,359
6,360
6,361
6,362
3,363
3,364
3,365
3,366
3,367
3,368
3,369
3,370
3,371
3,372
3,373
9,374
9,375
9,376
9,377
9,378
9,379
9,380
9,381
9,382
38,383
38,384
38,385
38,386
38,387
38,388
38,389
38,390
38,391
45,392
45,393
45,394
45,395
45,396
45,397
45,398
38,399
38,400
26,401
26,402
26,403
26,404
26,405
39,406
39,407
39,408
39,409
26,410
26,411
26,412
29,413
29,414
29,415
29,416
29,417
29,418
29,419
29,420
29,421
29,422
29,423
29,424
29,425
29,426
29,427
24,428
24,429
24,430
24,431
24,432
24,433
24,434
24,435
25,436
25,437
25,438
25,439
24,440
24,441
24,442
24,443
25,444
25,445
25,446
25,447
25,448
25,449
25,450
25,451
25,452
25,453
25,454
25,455
25,456
30,457
30,458
30,459
30,460
30,461
30,462
30,463
30,464
30,465
30,466
30,467
30,468
8,469
8,470
8,471
8,472
8,473
8,474
8,475
8,476
8,477
37,478
37,479
37,480
37,481
37,482
37,483
37,484
37,485
37,486
20,487
20,488
20,489
20,490
20,491
20,492
20,493
20,494
36,495
36,496
36,497
36,498
36,499
36,500
36,501
36,502
36,503
36,504
22,505
22,506
22,507
22,508
22,509
22,510
35,511
35,512
35,513
35,514
35,515
22,516
46,517
46,518
46,519
46,520
46,521
46,522
41,523
41,524
41,525
41,526
41,527
41,528
41,529
41,530
41,531
41,532
41,533
41,534
41,535
41,536
41,537
41,538
18,539
18,540
18,541
18,542
18,543
18,544
18,545
18,546
18,547
11,548
11,549
11,550
11,551
11,552
11,553
11,554
11,555
11,556
11,557
18,558
18,559
18,560
18,561
27,562
27,563
27,564
27,565
27,566
27,567
27,568
27,569
27,570
27,571
27,572
12,573
12,574
12,575
17,576
17,577
2,578
2,579
2,580
2,581
2,582
15,583
15,584
2,585
2,586
2,587
2,588
2,589
1,590
1,591
52,592
52,593
52,594
52,595
52,596
52,597
14,598
14,599
14,600
14,601
51,602
51,603
51,604
39,605
39,606
39,607
39,608
39,609
39,610
39,611
39,612
39,613
39,614
39,615
51,616
51,617
51,618
51,619
31,620
31,621
31,622
31,623
31,624
31,625
31,626
31,627
31,628
31,629
51,630
51,631
51,632
3,633
3,634
3,635
3,636
3,637
3,638
3,639
10,640
10,641
10,642
10,643
10,644
10,645
10,646
10,647
10,648
10,649
10,650
10,651
10,652
10,653
10,654
10,655
10,656
10,657
10,658
10,659
10,660
55,661
55,662
55,663
55,664
55,665
55,666
55,667
55,668
55,669
55,670
51,671
51,672
51,673
51,674
20,675
20,676
20,677
20,678
20,679
37,680
37,681
48,682
48,683
48,684
48,685
48,686
48,687
48,688
48,689
48,690
48,691
33,692
33,693
33,694
33,695
33,696
33,697
33,698
33,699
33,700
33,701
33,702
33,703
33,704
33,705
55,706
55,707
55,708
55,709
55,710
